		n_id	n_index	n_priority	n_isWatchAd	n_isNew	n_needBuy	n_lockState	s_lockTips	s_partName	s_icon	s_conflictParts	s_conflictOriginal
		23010	23	9						custom_head#g2052_head_08	set:g2052_head_icon.json image:head_08		
		23011	23	1						custom_head#g2052_head_09	set:g2052_head_icon.json image:head_09		
		23012	23	5						custom_head#g2052_head_10	set:g2052_head_icon.json image:head_10		
		23013	23	4						custom_head#g2052_head_11	set:g2052_head_icon.json image:head_11		
	小熊口罩	23014	23	11			1	4		custom_head#g2052_head_12	set:g2052_head_icon.json image:head_12		
	王子面罩	23015	23	15			1	4		custom_head#g2052_head_13	set:g2052_head_icon.json image:head_13		
	心形眼镜	23016	23	12			1	4		custom_head#g2052_head_14	set:g2052_head_icon.json image:head_14		
背饰		24001	24	94						custom_bag#g2035_rob_bag	set:g2052_bag_icon.json image:bag_g2035_rob_bag		
		24002	24	95						custom_bag#g2052_bag_01	set:g2052_bag_icon.json image:bag_01		
		24003	24	96						custom_bag#g2052_bag_02	set:g2052_bag_icon.json image:bag_02		
		24004	24	97						custom_bag#g2052_bag_04	set:g2052_bag_icon.json image:bag_04		
		24005	24	98						custom_bag#g2052_bag_05	set:g2052_bag_icon.json image:bag_05		
		24006	24	99						custom_bag#g2052_bag_09	set:g2052_bag_icon.json image:bag_09		
		24007	24	100						custom_bag#g2052_bag_10	set:g2052_bag_icon.json image:bag_10		
		24008	24	1						custom_wing#3	set:g2052_bag_icon.json image:wing_3	custom_bag	
		24009	24	2						custom_wing#4	set:g2052_bag_icon.json image:wing_4	custom_bag	
	翅膀	24010	24	3			1	2		custom_bag#g2052_bag_11	set:g2052_bag_icon.json image:bag_11		
	蜜蜂背包	24011	24	4			1	4		custom_bag#g2052_bag_12	set:g2052_bag_icon.json image:bag_12		
	兔子背包	24012	24	5			1	99		custom_bag#g2052_bag_13	set:g2052_bag_icon.json image:bag_13		
	黑翅膀	24013	24	3		1	1			custom_bag#g2052_bag_14	set:g2052_new_dress.json image:bag_14		
	金翅膀	24014	24	3		1	1			custom_bag#g2052_bag_15	set:g2052_new_dress.json image:bag_15		
腰饰		25001	25	99						custom_waist#g2052_waist_02	set:g2052_waist_icon.json image:waist_02		
		25002	25	100						custom_waist#g2052_waist_06	set:g2052_waist_icon.json image:waist_06		
皮肤		31001	31	66						skin_color#1,0.89,0.79,1			
		31002	31	67						skin_color#1,0.86,0.7,1			
		31003	31	68						skin_color#0.95,0.78,0.62,1			
		31004	31	69						skin_color#0.9,0.72,0.56,1			
		31005	31	70						skin_color#0.86,0.56,0.4,1			
		31006	31	71						skin_color#0.69,0.38,0.29,1			
		31007	31	72						skin_color#0.65,0.22,0,1			
		31008	31	73						skin_color#0.59,0.04,0,1			
		31009	31	74						skin_color#0.49,0,0,1			
		31010	31	75						skin_color#0.36,0,0,1			
		31011	31	76						skin_color#0.89,0.68,0.65,1			
		31012	31	77						skin_color#0.9,0.54,0.53,1			
		31013	31	78						skin_color#0.71,0.34,0.39,1			
		31014	31	79						skin_color#0.75,0.47,0.42,1			
		31015	31	80						skin_color#0.53,0.21,0.13,1			
		31016	31	81						skin_color#0.2,0.27,0.894,1			
		31017	31	82						skin_color#0.157,0.35,0.94,1			
		31018	31	83						skin_color#0.2,0.616,0.85,1			
		31019	31	84						skin_color#0.537,0.816,0.427,1			
		31020	31	85						skin_color#0.267,0.39,0.094,1			
		31021	31	86						skin_color#0.49,0.49,0.157,1			
		31022	31	87						skin_color#0.2,0.733,0.63,1			
		31023	31	88						skin_color#0,0.294,0,1			
		31024	31	89						skin_color#0.66,0.55,0.3,1			
		31025	31	90						skin_color#0.29,0.24,0.08,1			
		31026	31	91						skin_color#0.18,0.16,0.04,1			
		31027	31	92						skin_color#0.33,0.19,0.11,1			
		31028	31	93						skin_color#0.22,0.08,0,1			
		31029	31	94						skin_color#0.18,0.11,0.05,1			
		31030	31	95						skin_color#0.78,0.81,0.86,1			
		31031	31	96						skin_color#0.63,0.76,0.83,1			
		31032	31	97						skin_color#0.64,0.58,0.71,1			
		31033	31	98						skin_color#0.6,0.45,0.69,1			
		31034	31	99						skin_color#0.41,0.31,0.4,1			
		31035	31	100						skin_color#0.27,0.17,0.31,1			
		31036	31	101						skin_color#0.91,0.862,0.118,1			
		31037	31	102						skin_color#0.92,0.773,0.07,1			
		31038	31	103						skin_color#0.14,0.56,0.604,1			
		31039	31	104						skin_color#0.957,0.957,0.957,1			
		31040	31	105						skin_color#0.965,0.43,0.337,1			
		31041	31	106						skin_color#0.965,0.655,0.74,1			
		31042	31	107						skin_color#0.565,0.255,0.71,1			
表情		40001	41	15						custom_face#g2052_face_surprised	set:g2052_face_icon.json image:g2052_icon_face_surprised		
		40002	41	13						custom_face#g2052_face_wonder	set:g2052_face_icon.json image:g2052_icon_face_wonder		
		40003	41	11						custom_face#g2052_face_unhappy	set:g2052_face_icon.json image:g2052_icon_face_unhappy		
		40004	41	8						custom_face#g2052_face_sad	set:g2052_face_icon.json image:g2052_icon_face_sad		
		40005	41	2						custom_face#g2052_face_cry	set:g2052_face_icon.json image:g2052_icon_face_cry		
		40006	41	31						custom_face#g2052_face_expect	set:g2052_face_icon.json image:g2052_icon_face_expect		
		40007	41	6						custom_face#g2052_face_proud	set:g2052_face_icon.json image:g2052_icon_face_proud		
		40008	41	12						custom_face#g2052_face_angry	set:g2052_face_icon.json image:g2052_icon_face_angry		
		40009	41	16						custom_face#g2052_face_fear	set:g2052_face_icon.json image:g2052_icon_face_fear		
		40010	41	28						custom_face#g2052_face_breakdown	set:g2052_face_icon.json image:g2052_icon_face_breakdown		
		40011	41	3						custom_face#g2052_face_crazy	set:g2052_face_icon.json image:g2052_icon_face_crazy		
		40012	41	19						custom_face#g2052_face_laugh	set:g2052_face_icon.json image:g2052_icon_face_laugh		
		40013	41	4						custom_face#g2052_face_blush	set:g2052_face_icon.json image:g2052_icon_face_blush		
		40014	41	5						custom_face#g2052_face_happy	set:g2052_face_icon.json image:g2052_icon_face_happy		
		40015	41	21						custom_face#g2052_face_mood	set:g2052_face_icon.json image:g2052_icon_face_mood		
		40016	41	1						custom_face#g2052_face_shock	set:g2052_face_icon.json image:g2052_icon_face_shock		
		40017	41	10						custom_face#g2052_face_sleep	set:g2052_face_icon.json image:g2052_icon_face_sleep		
		40018	41	24						custom_face#g2052_face_dizzy	set:g2052_face_icon.json image:g2052_icon_face_dizzy		
		40019	41	32						custom_face#g2052_face_sick	set:g2052_face_icon.json image:g2052_icon_face_sick		
		40020	41	20						custom_face#g2052_face_daze	set:g2052_face_icon.json image:g2052_icon_face_daze		
		40021	41	37						custom_face#g2052_face_ill	set:g2052_face_icon.json image:g2052_icon_face_ill		
		40022	41	17						custom_face#g2052_face_adore	set:g2052_face_icon.json image:g2052_icon_face_adore		
		40023	41	33						custom_face#g2052_face_zombie	set:g2052_face_icon.json image:g2052_icon_face_zombie		
		40024	41	39						custom_face#g2052_02_face_girl	set:g2052_face_icon.json image:02_face_girl		
		40025	41	36						custom_face#g2052_03_face_girl	set:g2052_face_icon.json image:03_face_girl		
		40026	41	34						custom_face#g2052_04_face_girl	set:g2052_face_icon.json image:04_face_girl		
		40027	41	27						custom_face#g2052_10_face_girl	set:g2052_face_icon.json image:10_face_girl		
		40028	41	14						custom_face#g2052_12_face_girl	set:g2052_face_icon.json image:12_face_girl		
		40029	41	7						custom_face#g2052_14_face_girl	set:g2052_face_icon.json image:14_face_girl		
		40030	41	18						custom_face#g2052_17_face_girl	set:g2052_face_icon.json image:17_face_girl		
		40031	41	42						custom_face#g2052_04_face_boy	set:g2052_face_icon.json image:04_face_boy		
		40032	41	41						custom_face#g2052_07_face_boy	set:g2052_face_icon.json image:07_face_boy		
		40033	41	29						custom_face#g2052_55_face_boy	set:g2052_face_icon.json image:55_face_boy		
		40034	41	38						custom_face#g2052_18_face_widget	set:g2052_face_icon.json image:18_face_widget		
		40035	41	9						custom_face#g2052_29_face_widget	set:g2052_face_icon.json image:29_face_widget		
		40036	41	30						custom_face#g2052_face_hot	set:g2052_face_icon.json image:g2052_icon_face_hot		
		40037	41	35						custom_face#g2052_face_cold	set:g2052_face_icon.json image:g2052_icon_face_cold		
		41001	41	25						custom_face#g2020.02.boy	set:g2052_face_icon.json image:face_g2020_02_boy		
		41002	41	22						custom_face#g2020.03.boy	set:g2052_face_icon.json image:face_g2020_03_boy		
		41003	41	26						custom_face#g2032_bartender	set:g2052_face_icon.json image:face_g2032_bartender		
		41004	41	40						custom_face#g2032_chef	set:g2052_face_icon.json image:face_g2032_chef		
		41005	41	23						custom_face#g2032_takeout	set:g2052_face_icon.json image:face_g2032_takeout		
		41501	41	11						custom_face#g2020.02.girl	set:g2052_face_icon.json image:face_g2020_02_girl		
		41502	41	11						custom_face#g2020.03.girl	set:g2052_face_icon.json image:face_g2020_03_girl		
