s_key	uname	s_func	s_sync	n_isNeedCheckObstacle	s_triggers	s_timeTriggerData	s_interactPopIcon	s_interactPopOffset	s_clickTipEffect	s_clickTipOffset	s_precondition	s_bindRelation	s_controlCascade	s_controlBeCascade	s_nextInteract	n_delay	s_triggerSound	s_breakSound	s_p1	s_p2	s_p3	s_p4	s_p5	s_p6	s_p7	s_p8	i_eventReport							s_counterKey	s_counterType	n_counterMax	n_counterMin	s_condition1	s_invalidCallback	s_entityTargets	s_executionCallback
baijian_kafei	摆件-咖啡	onPickProp	server	0	1				click.effect	0#0.2#0									1511	1																					
baijian_naiping	摆件-奶瓶	onPickProp	server	0	1				click.effect	0#0.2#0									1512	1																					
baijian_hongjiu	摆件-红酒	onPickProp	server	0	1				click.effect	0#0.4#0									1513	1																					
baijian_shuidai	摆件-睡袋	onFurnitureInteract	server	1	4		set:g2052_interaction_icon.json image:sleeping	0,0.4,0											sleep1#0#-0.8#-0.1#0#0.5#0																						
baijian_kaochuan1	摆件-烤串1	onPickProp	server	0	1				click.effect	0#0#-0.15									1420	1																					
baijian_water	摆件-矿泉水	onPickProp	server	0	1				click.effect	0#0.35#0									1517	1																					
baijian_latte	摆件-纸杯咖啡	onPickProp	server	0	1				click.effect	0#0.3#0									1518	1																					
baijian_frappuccino	摆件-星冰乐咖啡	onPickProp	server	0	1				click.effect	0#0.3#0									1519	1																					
area_church	埋点-教堂	onAreaMonitoring	server	0	2#3														1																						
area_bank	埋点-银行	onAreaMonitoring	server	0	2#3														1																						
area_hospital	埋点-医院	onAreaMonitoring	server	0	2#3														1																						
area_central_convenience_store	埋点-便利店	onAreaMonitoring	server	0	2#3														1																						
area_police_station	新警局-直升机区域	onHelicopterMonitoring	server	0	2#3																																				
area_fire_station	新消防局-直升机区域	onHelicopterMonitoring	server	0	2#3																																				
area_clothing_store	埋点-服装店	onAreaMonitoring	server	0	2#3														1																						
area_barber_shop	埋点-理发店	onAreaMonitoring	server	0	2#3														1																						
area_gameroom	埋点-游戏房	onAreaMonitoring	server	0	2#3														1	bgm_play																					
area_sports	埋点-滑板场	onAreaMonitoring	server	0	2#3														1																						
area_stage	埋点-舞台	onAreaMonitoring	server	0	2#3														1																						
area_club	埋点-酒吧	onAreaMonitoring	server	0	2#3														1																						
area_toystore	埋点-玩具店	onAreaMonitoring	server	0	2#3														1																						
area_townhall	埋点-市政厅	onAreaMonitoring	server	0	2#3														1																						
area_gasstation	埋点-加油站	onAreaMonitoring	server	0	2#3														1																						
area_police_station1	埋点-警局	onAreaMonitoring	server	0	2#3														1																						
area_fire_station1	埋点-消防局	onAreaMonitoring	server	0	2#3														1																						
area_icecream	埋点-雪糕店	onAreaMonitoring	server	0	2#3														1																						
area_cafe	埋点-咖啡厅	onAreaMonitoring	server	0	2#3														1																						
dayinji	打印机交互	onPrinterInteract	server	0	1				click.effect								dayinji		myplugin/paper	0.4#0.1#0	0.55#0.14#0	40	dayinji																		
printing_paper	打印纸交互	onPrintPaperInteract	server	0	1				click.effect										2014																						
futou	警局-斧头获得	onPickProp	server	0	1				click.effect	0#0#0.2									1632																						
dangan_guizi_trigger	档案室-柜子触发器	triggerPasswordInput	server	0	1		set:g2052_interaction_icon.json image:click												2052	dangan_guizi_men																					
dangan_guizi_image	档案室-线索2	onPickProp	server	0	1				click.effect	0#0#0.2									2013																						
printing_paper2	线索2交互	onPickProp	server	0	1#4		set:g2052_interaction_icon.json image:click												2013	1																					
xiansuo_trigger	档案室-触发传送到厕所		server	0			set:g2052_interaction_icon.json image:click												map001#36#15#-143																						
main_toilet_transfer	厕所传送点		server																																						
yiyuan_transfer	医院-一楼最左边病房		server																																						
jj_jingzhangdiannan	打开警长电脑监控	openMonitorView	client	0	1				click.effect	-0.1#-0.2#0.5									1005																						
vryanjing	银行-vr眼镜	onPickProp	server	0	1				click.effect	0#0#0.2									2021																						
goldapple	银行-金苹果	onPickProp	server	0	1				click.effect	0#0#0.2									1414																						
xuyuanbi	银行-许愿币	onPickProp	server	0	1				click.effect	0#0#0.2									2002																						
jj_buqiang	步枪	onPickProp	server	0	1				click.effect	0.1#0.1#0.1									1612																						
jj_shouqiang	手枪	onPickProp	server	0	1				click.effect	0.1#0#0.2									1613																						
jj_jujiqiang	狙击枪	onPickProp	server	0	1				click.effect	0.1#0#0.2									1614																						
jj_dianjiqiang	电击枪	onPickProp	server	0	1				click.effect	0.1#0#0.2									1616																						
wodian_guizi_trigger	窝点-柜子触发器	triggerPasswordInput	server	0	1		set:g2052_interaction_icon.json image:click												2052	wodian_guizi_men																					
wodian_jingtiao	窝点金条	onPickProp	server	0	1				click.effect	0#0.2#0									1623																						
test_picture	警局拍照	onPolicePhotograph	server	0	2#3														400	0#2#0	0#0#0.0	16	effect_paizhao	paizhao_qiang																	
driverSeat	零件载具-驾驶位	onRideOnPartVehicle	server	0	2																																				
passengerSeat	零件载具-乘客位	onTravelByPartVehicle	server	0	2																																				
bidding_pai_editor	点击招标公示栏-编辑器	onClickBiddingNoticeBoard	server	0	1				click.effect	0.0#-0.1#-0.3																															
bidding_pai_rank	点击招标公示栏-排行榜	onClickBiddingNoticeRank	server	0	1				click.effect	0#-0.1#-0.5																															
TenderingTransfer	点击广场告示牌打开传送界面	onOpenTenderingTransfer	client	0	1				click.effect	0.2#-0.1#0.0																															
gonggao	点击告示牌打开日报界面	openAnnouncementUI	client	0	1				click.effect	0#0#0.2																															
prop_wenduji	道具-温度计	onPickProp	server	0	1				click.effect	0#0.2#0									1651																						
prop_zhenguan	道具-针管	onPickProp	server	0	1				click.effect	0.2#0#0									1653																						
prop_c4zhadan	道具-C4炸弹	onPickProp	server	0	1				click.effect	0#0#0									1601																						
prop_ak	道具-AK	onPickProp	server	0	1				click.effect	0.2#0#0									1615																						
prop_bishou	道具-匕首	onPickProp	server	0	1				click.effect	0#0#0									1629																						
prop_bangsheng	道具-绑绳	onPickProp	server	0	1				click.effect	0#0#0									1630																						
prop_duijiangji	道具-对讲机	onPickProp	server	0	1				click.effect	0#-0.1#0.2									1607																						
prop_guopan_pingguo	道具-果盘-苹果	onPickProp	server	0	1				click.effect	0#0.2#0									1413																						
prop_yingliao_05	道具-苹果汁	onPickProp	server	0	1				click.effect	0#0.2#0									1508																						
prop_yingliao_03	道具-雪碧	onPickProp	server	0	1				click.effect	0#0.2#0									1506																						
prop_yingliao_02	道具-可乐	onPickProp	server	0	1				click.effect	0#0.2#0									1505																						
xiaofangfu	道具-消防斧	onPickProp	server	0	1				click.effect	0#0.2#0									1632																						
qiaogun	道具-撬棍	onPickProp	server	0	1				click.effect	0#0.2#0									1633																						
chuizi	道具-锤子	onPickProp	server	0	1				click.effect	0#0.2#0									1634																						
tizi	道具-梯子	onPickProp	server	0	1				click.effect	0#0.2#0									1022																						
prop_yingliao_01	道具-百事可乐	onPickProp	server	0	1				click.effect	0#0.2#0									1504																						
prop_yingliao_06	道具-橙汁	onPickProp	server	0	1				click.effect	0#0.2#0									1509																						
prop_yingliao_04	道具-芬达	onPickProp	server	0	1				click.effect	0#0.2#0									1507																						
tuoba	道具-拖把	onPickProp	server	0	1				click.effect	0#0.7#0									1041																						
prop_regou	道具-热狗	onPickProp	server	0	1				click.effect	0#0.2#0									1418																						
prop_hanbao	道具-汉堡	onPickProp	server	0	1				click.effect	0#0.2#0									1401																						
prop_hongjiu	道具-红酒	onPickProp	server	0	1				click.effect	0#0.4#0									1513																						
prop_guozhi	道具-一杯果汁	onPickProp	server	0	1				click.effect	0#0.2#0									1510																						
prop_shala	道具-沙拉	onPickProp	server	0	1				click.effect	0#0.2#0									1419																						
tv_screen	通用-电视屏幕	operationEffectTelevision	server	0	1				click.effect	0.2#-0.5#-1.2							dianshi		g2052_tvpingmu01.effect#g2052_tvpingmu02.effect#g2052_tvpingmu03.effect#g2052_tvpingmu04.effect#g2052_tvpingmu05.effect#g2052_tvpingmu06.effect#g2052_tvpingmu07.effect##g2052_tvpingmu08.effect##g2052_tvpingmu09.effect##g2052_tvpingmu10.effect#	left_btn#right_btn							1														
left_btn	电视控制按钮-左	operatingInEffectTaiwan	server	0	1														2																						
right_btn	电视控制按钮-右	operatingInEffectTaiwan	server	0	1														1																						
jiguangchuang_m	激光-板移动	operationPartMove	server	0																0#-2.5#0		20		20																	
jiguangchuang_s	激光-做在板上	onVehicleToOnePart	server	0	2										20#jiguangchuang_m#70																										
school_text_music	学校-音乐黑板	onEditPartContentShow	server	0	1				click.effect	0#-0.5#0									0#0#0.05	0#180#0	20	387#150	DoReMi	0																	
police_book_yellow	通用-黄色书	onPickProp	server	0	1												book	book	1019		3																				
police_door_1	新警局-室内门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	-1.0#0.0#0.0			6																	
police_bilu	新警局-笔录	onPickProp	server	0	1				click.effect	0#0.2#0									1654																						
box_jj_door1	新警局-室内门-触发	onTriggerAssociated	server	0	2#3														police_door_1																						
police_yinshuiji	新警局-饮水机	onPickProp	server	0	1				click.effect	0#0#0.2									1517																						
police_xiangji	新警局相机	onTriggerAssociated	server	0	1				click.effect	-0.2#0#0									effect_jj_paizhao								1														
g2052_prop_dianhua	新警局-电话触发	onTriggerAssociated	server	0	4		set:g2052_interaction_icon.json image:get					box_sit01							box_jj_dianhua#g2052_prop_dianhua_tiji						1		1														
box_jj_dianhua	新警局-接电话位置	onFurnitureInteract	server	0															g2052_rp_dianhua#0#-0.2#0#0#0.4#0																						
police_filingcabinetdoor	新警局-档案柜-抽屉	operationPartMove	server	0	1												door_chouti		0#0#0.4				5																		
police_kafeiji	新警局-咖啡壶	onPickProp	server	0	1				click.effect	0#0#-0.3									1511																						
police_kafei	新警局-咖啡	onPickProp	server	0	1				click.effect	0#0.2#0									1511																						
box_jjpc_kaiguan	新警局-工作-触发	onTriggerAssociated	server	0	4		set:g2052_interaction_icon.json image:click					box_sit01							box_work2#pc_jj_screen						1																
box_jzpc_kaiguan	新警局-警长工作-触发	onTriggerAssociated	server	0	4		set:g2052_interaction_icon.json image:click					box_sit01							box_work2#pc_jz_screen						1		1														
pc_jz_screen	警长电脑屏幕	operationEffectTelevision	server	0															g2052_xianshiping02.effect#g2052_xianshiping03.effect#g2052_xianshiping04.effect#g2052_xianshiping07.effect#	left_btn#right_btn																					
pc_jj_screen	新警局-电脑屏幕	operationEffectTelevision	server	0															g2052_xianshiping04.effect																						
effect_jj_paizhao	新警局-相机拍照特效	playEffectOnPart	server	0													kaiguan		g2052_skill_xiangji.effect	0#0.0#0	0.3		400																		
police_kaiguan	新警局-监狱开关	onTriggerAssociated	server	0	1				click.effect	0#0.1#-0.2									police_door_jianyu#police_kaiguan_1								1														
police_kaiguan_1	新警局-监狱开关颜色	changePartColor	server	0															0,255,30,1																						
police_door_jianyu	新警局-监狱门	operationPartRotate	server	0													door_tiemen	door_tiemen	-150	0#1#0	-1#0.0#0.0			10																	
box_jj_qiangxie	新警局-双门触发	onTriggerAssociated	server	0	2#3														police_qiangxie_door_l#police_qiangxie_door_r																						
police_qiangxie_door_l	新警局-双门左	operationPartRotate	server	0													door_mumen	door_mumen	90	0#1#0	-0.6#0.0#0.0			6																	
police_qiangxie_door_r	新警局-双门右	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	-0.6#0.0#0.0			5																	
jj_fangbaodun	新警局-防爆盾获取	onPickProp	server	0	1				click.effect	0#0#0.2									1605																						
jj_jinggun	新警局-警棍获取	onPickProp	server	0	1				click.effect	-0.1#0#0									1604																						
jj_gun_buqiang	新警局-步枪	onPickProp	server	0	1				click.effect	0#-0.2#0									1612																						
jj_gun_jujiqiang	新警局-狙击枪	onPickProp	server	0	1				click.effect	-0.2#0#0									1614																						
jj_gun_shouqiang	新警局-手枪	onPickProp	server	0	1				click.effect	-0.1#0#0									1613																						
jj_gun_dianjiqiang	新警局-电击枪	onPickProp	server	0	1				click.effect	-0.1#0#0									1616																						
police_guimen_l	新警局-柜门_左	operationPartRotate	server	0	1												door_yigui	door_yigui	-90	0#1#0	0.48#0.0#0.0			10																	
police_guimen_r	新警局-柜门_右	operationPartRotate	server	0	1												door_yigui	door_yigui	90	0#1#0	0.48#0.0#0.0			10																	
police_monitor	新警局-警长电脑监控	openMonitorView	client	0	1				click.effect	0#0#0.2									1006								1														
police_brick	新警局-移动地砖	operationPartMove	server	0	1				click.effect	0#0.2#0							door_chouti	door_chouti	1.8#0#0				10				1														
police_xiangkuang	新警局-相框	onPlayerPhotograph	server	0	1				click.effect	0#0#-0.2									200#100	0#0#0	0#0#0	20	0.3				1														
g2052_prop_dianhua_tiji	新警局-电话把手	onUpdatePartShow	server	0																1																					
police_archives	新银行-档案袋	onPickProp	server	0	1				click.effect	0#0.2#0									2024																						
shengjiangti	消防车升降梯	operationPartLocalRotate	client	0															-40	1#0#0	0.0#0.0#-3.6			10																	
shopcar_cemen	商店车侧门	checkOperationPartLocalRotate	server	0	1				click.effect	0.1#-0.2#0.2									90	0#0#1	0#0.8#0			5																	
lambo_door_l	兰博车侧门	checkOperationPartLocalRotate	server	0	1														90	0#0#1	0#0#0			5																	
lambo_door_r	兰博车侧门	checkOperationPartLocalRotate	server	0	1														-90	0#0#1	0#0#0			5																	
2052_prop_kadoor	新银行-获得门卡	onPickProp	server	0	1				click.effect	0#0.2#0									2001																						
bank_jinjukaiguan	新银行-ID卡铁门按钮	onTriggerAssociated	server	0	1				click.effect	0#-0.2#0.2	1#2001						jingkumensuo		bank_door																						
bank_door	新银行-金库大门	operationPartRotate	server	0													door_tiemen	door_tiemen	120	0#1#0	-1.6#0#-0.2		1200	60			1														
box_bank_bolidoor	新银行-室内门-触发	onTriggerAssociated	server	0	2#3														bank_door2_boli#bank_door2																						
bank_door2	新银行-办公室门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	1.0#0.0#0.0			10																	
bank_door2_boli	新银行-办公室门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	1.0#0.0#0.0			10																	
box_bank_door	新银行-室内门-触发	onTriggerAssociated	server	0	2#3														bank_door3																						
bank_door3	新银行-办公室门	operationPartRotate	server	0													door_mumen	door_mumen	90	0#1#0	0#0.0#0.95			10																	
box_bankdamen	新银行-大门开关	onTriggerAssociated	server	0	2#3														bank_door4l#bank_door4_bolil#bank_door4r#bank_door4_bolir																						
bank_door4l	新银行-大门左	operationPartRotate	server	0													door_mumen	door_mumen	90	0#1#0	-1.0#0.0#0.0			10																	
bank_door4_bolil	新银行-大门左	operationPartRotate	server	0													door_mumen	door_mumen	90	0#1#0	-1.0#0.0#0.0			10																	
bank_door4r	新银行-大门右	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	-1.0#0.0#0.0			10																	
bank_door4_bolir	新银行-大门右	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	-1.0#0.0#0.0			10																	
box_dianti	新银行-电梯门开关	onTriggerAssociated	server	0	2														bank_dianti_doorl#bank_dianti_doorr																						
bank_dianti_doorl	新银行-电梯门左	operationPartMove	server	0													door_pinghua		-1.1#0#0		40		20																		
bank_dianti_doorr	新银行-电梯门右	operationPartMove	server	0													door_pinghua		1.1#0#0		40		20																		
diantianniu_1L	新银行1楼到2楼	onEnterPortal	server	0	1				click.effect	0#0#0									map001#-95.56#7.22#-44.27																						
diantianniu_2L	新银行2楼到1楼	onEnterPortal	server	0	1				click.effect	0#0#0									map001#-95.11#0.81#-43.95																						
bank_safe_door	新银行-办公室柜子门	operationPartRotate	server	0	1				click.effect	0.1#-0.2#0.2							door_baoxiangui	door_baoxiangui	-90	0#1#0	-0.47#0#0		200	5																	
bank_safe_door2	新银行-金库柜子门	operationPartRotate	server	0	1				click.effect	0.1#-0.2#0.2							door_baoxiangui	door_baoxiangui	-90	0#1#0	-0.38#0#0		200	5																	
bank_filingcabinetdoor	新银行抽屉	operationPartMove	server	0	1												door_pinghua		0#0#0.5		100		20																		
bank_jinkujintiao	新银行金库金条	onPickProp	server	0	1				click.effect	0#0.3#0									1623																						
bank_jinkuqiandai	新银行金库钱袋	onPickProp	server	0	1				click.effect	0#0.6#0									1621																						
baijian_goldapple	新银行-金苹果	onPickProp	server	0	1				click.effect	0#0#0.2									1414																						
baijian_xianglian	新银行-项链	onPickProp	server	0	1				click.effect	0#0#0.2									2023																						
baijian_baoshi	新银行-珠宝	onPickProp	server	0	1				click.effect	0#0#0.2									2022																						
pingguo2	新银行-金苹果	onPickProp	server	0	1				click.effect	0#0#0.2									1414	1							1														
bank_xianglian	新银行-项链	onPickProp	server	0	1				click.effect	0#0#0.2									2023	1							1														
bank_baoshi	新银行-珠宝	onPickProp	server	0	1				click.effect	0#0#0.2									2022	1							1														
bank_atm	新银行-取款机	onPrinterInteract	server	0	1				click.effect	0.45#-0.2#0.2	1#1624						qukuanji_chaopiao		myplugin/qukuanji_chaopiao	-0.2#-0.6#0.1	0.1#-0.6#0.1	40	qukuanji_chaopiao				1														
qukuanji_chaopiao	取款机钞票	onPrintPaperInteract	server	0	1				click.effect										1622																						
box_yhpc_kaiguan	新银行-工作-触发	onTriggerAssociated	server	0	4		set:g2052_interaction_icon.json image:click												box_work2#pc_screen_bank						1																
pc_screen_bank	新银行电脑屏幕	operationEffectTelevision	server	0															g2052_pcpingmu11.effect#g2052_pcpingmu12.effect	left_btn#right_btn																					
bank_jiankong	新银行_电脑监控	openMonitorView	client	0	1				click.effect	0#0#0.2									1007								1														
prop_yingliao_hongjiu	新超市-红酒	onPickProp	server	0	1				click.effect	0.2#0#0									1513																						
shop_prop_apple	新超市-苹果	onPickProp	server	0	1				click.effect	0#0.2#0									1413																						
shop_prop_banana	新超市-香蕉	onPickProp	server	0	1				click.effect	0#0.2#0									1515																						
shop_prop_orange	新超市-橙子	onPickProp	server	0	1				click.effect	0#0.3#0									1516																						
shop_prop_pisa	新超市-披萨	onPickProp	server	0	1				click.effect	0#0.2#0									1514																						
shop_prop_regou	新超市-热狗	onPickProp	server	0	1				click.effect	0#0.2#0									1418																						
box_chaoshi_door1	新超市-室内门-触发	onTriggerAssociated	server	0	2#3														chaoshi_door																						
supermarketi_chouti_1	新超市-柜门	operationPartRotate	server	0	1												door_mumen	door_mumen	-90	0#1#0	-0.5#0.0#0.0			10																	
supermarketi_chouti_2	新超市-柜子-抽屉	operationPartMove	server	0	1												door_chouti		0#0#0.4				5																		
shop_kaiguan	新超市-仓库开关	onTriggerAssociated	server	0	1				click.effect	0#0#0.2							switch	switch	supermarketi_door_2#shop_kaiguan_1								1														
supermarketi_door_2	新超市-仓库门	operationPartMove	server	0													door_juanlian	door_juanlian	0#3.8#0				60																		
shop_kaiguan_1	新超市-仓库开关颜色	changePartColor	server	0															0,255,30,1																						
chaoshi_door	新超市-室内门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	-1.0#0.0#0.0			5																	
prop_water	新超市-矿泉水	onPickProp	server	0	1				click.effect	0.2#0#0									1517																						
shop_bingxiangboli	新超市-冰箱门	operationPartRotate	server	0	1												door_damen	door_damen	-120	0#1#0	0#0.0#0.85			10																	
box_shop_langan	新超市-栏杆门-触发	onTriggerAssociated	server	0	2#3														supermarketi_langanmen_l#supermarketi_langanmen_r																						
supermarketi_langanmen_l	新超市-栏杆门-左	operationPartRotate	server	0	1												fanmaiji	fanmaiji	-90	0#1#0	0.6#0.0#0.0			5																	
supermarketi_langanmen_r	新超市-栏杆门-右	operationPartRotate	server	0	1												fanmaiji	fanmaiji	90	0#1#0	0.6#0.0#0.0			5																	
prop_gouwuche	新超市-购物车	onPickProp	server	0	1				click.effect	0#0.2#0									1047																						
box_tiaojiu	新酒吧-调酒	onFurnitureInteract	server	0	4		set:g2052_interaction_icon.json image:click										tiaojiu		g2052_skill_tiaojiu#0.0#-0.9#-0.5#0.0#-0.9#-0.5								1														
club_door	新酒吧-后门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	-1.0#0.0#0.0			10																	
club_light	新酒吧-特效	onUpdateChildEffect	server	0	7	18:00$1#4:00$0													EffectPart																						
club_ziti	新酒吧-招牌辉光	onUpdateChildEffect	server	0	7	18:00$1#4:00$0															1																				
club_bloom	新酒吧-灯辉光	onUpdateChildEffect	server	0	7	18:00$1#4:00$0															1																				
box_club_door	新酒吧-后门-触发	onTriggerAssociated	server	0	2#3														club_door																						
motel_pc_screen	新旅馆-电脑屏幕	operationEffectTelevision	server	0															g2052_xianshiping07.effect#g2052_pcpingmu13.effect																						
motel_door	新旅馆_前门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	1.1#0.0#0.0			10																	
box_motel_door	新旅馆-前门-触发	onTriggerAssociated	server	0	2#3														motel_door	2	3																				
box_motel_door_2	新旅馆-室内门-触发	onTriggerAssociated	server	0	2#3														motel_door_2																						
motel_door_2	新旅馆_室内门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	1.1#0.0#0.0			10																	
box_pc_kaiguan	住宅-工作-触发	onTriggerAssociated	server	0	4		set:g2052_interaction_icon.json image:click					box_sit01							box_work2#pc_screen						1																
box_motel_book	新住宅-获得书	onPickProp	server	0	1				click.effect	0#0.3#0							book	book	1019																						
huasha	新住宅_花洒	onUpdateChildEffect	server	0															EffectPart																						
shuilongtou	新住宅_水龙头	onUpdateChildEffect	server	0															EffectPart																						
desk_lamp	住宅_小台灯	onUpdateChildEffect	server	0	1				click.effect	0#0.4#0.2							switch	switch	EffectPart																						
motel_closet_l	新旅馆-柜门_左	operationPartRotate	server	0	1												door_yigui	door_yigui	-90	0#1#0	-0.6#0.0#0.0			10																	
motel_closet_r	新旅馆-柜门_右	operationPartRotate	server	0	1												door_yigui	door_yigui	90	0#1#0	0.6#0.0#0.0			10																	
house_motel_suo	旅馆-锁	operatePartInteractLock	server	0	1				click.effect	0.1#0.0#0.2									box_motel_door	house	asset/house/mesh/2052_lock02.mesh	asset/house/mesh/2052_lock01.mesh																			
town_hall_table_01_1	新市政厅，市长办公室柜子门	operationPartRotate	server	0	1												door_baoxiangui	door_baoxiangui	-90	0#1#0	-0.3#0#0		200	5																	
town_hall_table_02_1	新市政厅，市长办公室柜子门	operationPartRotate	server	0	1												door_baoxiangui	door_baoxiangui	-90	0#1#0	-0.4#0#0		200	5																	
town_hall_table_02_2	新市政厅，市长办公室柜子门	operationPartRotate	server	0	1												door_baoxiangui	door_baoxiangui	90	0#1#0	0.4#0#0		200	5																	
town_hall_table_03_1	新市政厅，市长办公室柜子门	operationPartRotate	server	0	1												door_baoxiangui	door_baoxiangui	-90	0#1#0	-0.43#0#0		200	5																	
town_hall_table_03_2	新市政厅，市长办公室柜子门	operationPartRotate	server	0	1												door_baoxiangui	door_baoxiangui	90	0#1#0	0.43#0#0		200	5																	
box_town_door_2	市政厅投票门触发	onTriggerAssociated	server	0	2#3														town_hall_door_04_l#town_hall_door_04_r																						
town_hall_door_04_l	新市政厅，市长办公室门	operationPartRotate	server	0													door_baoxiangui	door_baoxiangui	-90	0#1#0	0.63#0#0			5																	
town_hall_door_04_r	新市政厅，市长办公室门	operationPartRotate	server	0													door_baoxiangui	door_baoxiangui	90	0#1#0	0.63#0#0			5																	
box_town_door_1	市政厅市长办公室触发	onTriggerAssociated	server	0	2#3														town_hall_door_05																						
town_hall_door_05	新市政厅，市长办公室门	operationPartRotate	server	0													door_baoxiangui	door_baoxiangui	90	0#1#0	-0.95#0#0			5																	
box_sztpc_kaiguan	新市政厅-工作-触发	onTriggerAssociated	server	0	4		set:g2052_interaction_icon.json image:click												box_work2#pc_screen_townhall						1																
pc_screen_townhall	新市政厅电脑屏幕	operationEffectTelevision	server	0															g2052_pcpingmu08.effect	left_btn#right_btn																					
baozhijia	新市政厅报纸架	onPickProp	server	0	1				click.effect	0#0.3#0									1017																						
town_hall_table_06	新市政厅抽屉	operationPartMove	server	0	1												door_pinghua		0#0#0.3		100		20																		
prop_toupiao	新市政厅-投票获得	onPickProp	server	0	1				click.effect	-0.2#0#0									2033								1														
town_hall_light	新市政厅市长台灯特效	onUpdateChildEffect	server	0	1				click.effect	0#0.3#0							switch		EffectPart																						
gym_pc_screen	新健身房-电脑屏幕	operationEffectTelevision	server	0															g2052_pcpingmu13.effect																						
box_shouyin2	通用-触发收银	onFurnitureInteract	server	0													shouyin2		g2052_skill_shouyin#0#0#0#0#0#0																						
gym_pc	新健身房-工作-触发	onTriggerAssociated	server	0	4		set:g2052_interaction_icon.json image:click												box_shouyin2#gym_pc_screen						1																
box_caidanche	新健身房-踩单车	onFurnitureInteract	server	0	2														g2052_car_bike_run#0#-0.5#0#0#0#0								1														
box_yangwo	新健身房-卷腹	onFurnitureInteract	server	0	2														g2052_skill_juanfu#-0.55#-0.3##0#0#0								1														
box_paobuji1	新健身房-跑步机-慢跑	onFurnitureInteract	server	0	2														g2052_walk#0#0##0#0#0								1														
paobuji_1dang	新健身房-跑步机-档位切换	switchFurnitureName	server	0	1				click.effect	0.1#-0.1#0									box_paobuji1#box_paobuji2#box_paobuji3								1														
box_paobuji2	新健身房-跑步机-跑	onFurnitureInteract	server	0	2														run#0#0##0#0#0								1														
box_paobuji3	新健身房-跑步机-快跑	onFurnitureInteract	server	0	2														g2052_sprint#0#0##0#0#0								1														
gum_yaling	新健身房-获得哑铃	onPickProp	server	0	1				click.effect	0#0.3#0									1310								1														
box_wotui	新健身房-卧推	onFurnitureInteract	server																g2052_skill_woju#0#0#-0.2#0#0#0																						
box_wotui_switch	新健身房-卧推-触发	onTriggerAssociated	server	0	2														box_wotui#gym_wotui_yaling						1		1														
gym_wotui_yaling	新健身房-大哑铃-显隐	onUpdatePartShow	server	0																1																					
box_yujia1	新健身房-瑜伽1	onFurnitureInteract	server		2														g2052_skill_yujia1#0#-0.1#0#0#0#0								1														
box_yujia2	新健身房-瑜伽2	onFurnitureInteract	server		2														g2052_skill_yujia2#0#0#0#0#0#0								1														
box_yujia3	新健身房-瑜伽3	onFurnitureInteract	server		2														g2052_skill_yujia3#0#0#0#0#0#0								1														
box_gangguan1	新健身房-钢管1	onFurnitureInteract	server		2														g2052_dance_gangguan1#0#0#0#0#0#-0.5								1														
box_gangguan2	新健身房-钢管2	onFurnitureInteract	server		2														g2052_dance_gangguan2#0#0#-0.15#0#0#-0.3								1														
fire_department_miehuoqi	新消防局-获得灭火器	onPickProp	server	0	1				click.effect	-0.3#0#0									1021																						
fire_department_futou	新消防局-获得消防斧	onPickProp	server	0	1				click.effect	0.3#0.1#0									1632																						
fire_department_toukui	新消防局-换装头盔	onDressUp	server	0	1				click.effect	0#0#0.5							huanzhuang	huanzhuang	11009								1														
fire_department_guimen_l	新消防局-柜门_左	operationPartRotate	server	0	1												door_yigui	door_yigui	-90	0#1#0	-0.48#0.0#0.0			10																	
fire_department_guimen_r	新消防局-柜门_右	operationPartRotate	server	0	1												door_yigui	door_yigui	90	0#1#0	0.48#0.0#0.0			10																	
fire_department_door_4	新消防局-室内门	operationPartRotate	server	0													door_mumen	door_mumen	-90	0#1#0	1#0.0#0.0			6																	
box_fire_door	新消防局-室内门-触发	onTriggerAssociated	server	0	2#3														fire_department_door_4																						
fire_department_door_2	新消防局-车库门	operationPartRotate	server	0	1				click.effect	0#0#0.3							door_baoxiangui	door_baoxiangui	-80	1#0#0	0#3#0.0			25																	
box_ty_kaiguan	通用电脑工作-触发	onTriggerAssociated	server	0	4		set:g2052_interaction_icon.json image:click					boy_sit01							box_work2#pc_ty_screen						1																
pc_ty_screen	通用-电脑屏幕	operationEffectTelevision	server	0															g2052_pcpingmu13.effect																						
fire_department_guimen_1	新消防局-小柜门_左	operationPartRotate	server	0	1												door_yigui	door_yigui	-90	0#1#0	-0.38#0.0#0.0			10																	
fire_department_guimen_2	新消防局-小柜门_右	operationPartRotate	server	0	1												door_yigui	door_yigui	90	0#1#0	0.38#0.0#0.0			10																	
