n_id	s_landName	s_buildName	n_regionId	n_bidId	s_initialBuildings	s_curBuildings	s_posOffset	s_rotateOffset	s_billboardOffset	s_billboardRotate	n_billboardRange	s_signOffset	s_signRotate	n_takeInCloths	n_takeInPet	n_winClothes	s_winTxt	s_winColor	s_publicOffset	s_publicRotate	n_publicRange	s_screenShot	s_landIcon	s_landMapPos	s_landAwardIcon	s_landAwardLang	s_landAwardType	s_landAwardItem
58	zhaopai02	g2052.gui.tendering.block_name.block02	8005	80503			0#0#0	0#90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief02	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-88#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
59	zhaopai03	g2052.gui.tendering.block_name.block03	8005	80504			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief03	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-76#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
60	zhaopai04	g2052.gui.tendering.block_name.block04	8005	80505			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief04	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-64#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
61	zhaopai05	g2052.gui.tendering.block_name.block05	8005	80506			0#0#0	0#90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief05	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-52#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
62	zhaopai06	g2052.gui.tendering.block_name.block06	8005	80507			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief06	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-40#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
63	zhaopai07	g2052.gui.tendering.block_name.block07	8005	80508			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief07	38ffa4	-6.6#4.6#0.1	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-40#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
64	zhaopai08	g2052.gui.tendering.block_name.block08	8005	80509			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief08	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-52#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
65	zhaopai09	g2052.gui.tendering.block_name.block09	8005	80510			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief09	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-64#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
66	zhaopai10	g2052.gui.tendering.block_name.block10	8005	80511			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief10	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-76#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
67	zhaobiao	g2052.gui.tendering.block_name.block1	8009	80901	myplugin/fuhuojie_danwu		-0.43#-0.2#0.38	0#-90#0	-21.3#3.5#3	0#90#0	30	-20#3#4	0#-90#0			11014	g2052.gui.tendering.award.police_chief1	38ffa4	-19.05#1.5#1.5	0#90#0	30	0#40#-26#0#57	set:g2052_tender.json image:zhaobiao1_bg	map001#-160#38#-90#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
68	zhaopai01	g2052.gui.tendering.block_name.block01	8009	80902			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief01	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-99.5#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
69	zhaopai02	g2052.gui.tendering.block_name.block02	8009	80903			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief02	38ffa4	6.8#4.6#-0.6	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-88#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
70	zhaopai03	g2052.gui.tendering.block_name.block03	8009	80904			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief03	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-76#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
71	zhaopai04	g2052.gui.tendering.block_name.block04	8009	80905			0#0#0	0#90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief04	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-64#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
72	zhaopai05	g2052.gui.tendering.block_name.block05	8009	80906			0.5#0#0.3	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief05	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-52#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
73	zhaopai06	g2052.gui.tendering.block_name.block06	8009	80907			0#0#0	0#-90#0	11.3#3.5#1	0#-90#0	30	10#3#0	0#90#0				g2052.gui.tendering.award.police_chief06	38ffa4	6.8#4.6#0	0#-90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#60#38#-40#90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
74	zhaopai07	g2052.gui.tendering.block_name.block07	8009	80908			0#0#0	0#90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief07	38ffa4	-6.6#4.6#0.1	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-40#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
75	zhaopai08	g2052.gui.tendering.block_name.block08	8009	80909			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief08	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-52#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
76	zhaopai09	g2052.gui.tendering.block_name.block09	8009	80910			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief09	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-64#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
77	zhaopai10	g2052.gui.tendering.block_name.block10	8009	80911			0#0#0	0#-90#0	-11.3#3.5#-1	0#90#0	30	-10#3#0	0#-90#0				g2052.gui.tendering.award.police_chief10	38ffa4	-6.6#4.6#0	0#90#0	30	0#45#-20#0#45	set:g2052_tender.json image:zhaobiao2_bg	map001#18#38#-76#-90	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
78	zhaobiao_201	g2052.gui.tendering.block_name_201	2001	200112			0#-0.3#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_201	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-50#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
79	zhaobiao_202	g2052.gui.tendering.block_name_202	2001	200113			0#0#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_202	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-21.3#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
80	zhaobiao_203	g2052.gui.tendering.block_name_203	2001	200114			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_203	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#8#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
81	zhaobiao_204	g2052.gui.tendering.block_name_204	2001	200115			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_204	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#37.4#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
82	zhaobiao_205	g2052.gui.tendering.block_name_205	2001	200116			0#0#0	0#0#0	-0.3#3.5#22.3	0#180#0	30	0#3#21	0#0#0			11016	g2052.gui.tendering.block_title_205	38ffa4	-22#0#0	0#90#0	30	0#48#-25#0#55	set:g2052_tender.json image:zhaobiao3_bg	map001#17.8#32#-208#180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
83	zhaobiao_206	g2052.gui.tendering.block_name_206	2001	200117			0#-2#0	0#0#0	-0.3#3.5#22.3	0#180#0	30	0#3#21	0#0#0			11016	g2052.gui.tendering.block_title_206	38ffa4	-22#0#0	0#90#0	30	0#46#-23#0#55	set:g2052_tender.json image:zhaobiao4_bg	map001#-40.7#32#-208#180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
84	zhaobiao_201	g2052.gui.tendering.block_name_201	1001	100112			0#-0.3#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_201	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-50#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
85	zhaobiao_202	g2052.gui.tendering.block_name_202	1001	100113			0#0#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_202	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-21.3#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
86	zhaobiao_203	g2052.gui.tendering.block_name_203	1001	100114			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_203	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#8#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
87	zhaobiao_204	g2052.gui.tendering.block_name_204	1001	100115			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_204	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#37.4#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
88	zhaobiao_205	g2052.gui.tendering.block_name_205	1001	100116			0#0#0	0#0#0	-0.3#3.5#22.3	0#180#0	30	0#3#21	0#0#0			11016	g2052.gui.tendering.block_title_205	38ffa4	-22#0#0	0#90#0	30	0#48#-25#0#55	set:g2052_tender.json image:zhaobiao3_bg	map001#17.8#32#-208#180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
89	zhaobiao_206	g2052.gui.tendering.block_name_206	1001	100117			0#-2#0	0#180#0	-0.3#3.5#22.3	0#180#0	30	0#3#21	0#0#0			11016	g2052.gui.tendering.block_title_206	38ffa4	-22#0#0	0#90#0	30	0#46#-23#0#55	set:g2052_tender.json image:zhaobiao4_bg	map001#-40.7#32#-208#180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
90	zhaobiao_201	g2052.gui.tendering.block_name_201	1003	100312			0#-0.3#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_201	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-50#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
91	zhaobiao_202	g2052.gui.tendering.block_name_202	1003	100313			0#0#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_202	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-21.3#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
92	zhaobiao_203	g2052.gui.tendering.block_name_203	1003	100314			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_203	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#8#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
93	zhaobiao_204	g2052.gui.tendering.block_name_204	1003	100315			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_204	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#37.4#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
94	zhaobiao_205	g2052.gui.tendering.block_name_205	1003	100316			0#0#0	0#0#0	-0.3#3.5#22.3	0#180#0	30	0#3#21	0#0#0			11016	g2052.gui.tendering.block_title_205	38ffa4	-22#0#0	0#90#0	30	0#48#-25#0#55	set:g2052_tender.json image:zhaobiao3_bg	map001#17.8#32#-208#180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
95	zhaobiao_206	g2052.gui.tendering.block_name_206	1003	100317			0#-2#0	0#0#0	-0.3#3.5#22.3	0#180#0	30	0#3#21	0#0#0			11016	g2052.gui.tendering.block_title_206	38ffa4	-22#0#0	0#90#0	30	0#46#-23#0#55	set:g2052_tender.json image:zhaobiao4_bg	map001#-40.7#32#-208#180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
96	zhaobiao_201	g2052.gui.tendering.block_name_201	1004	100412			0#-0.3#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_201	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-50#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
97	zhaobiao_202	g2052.gui.tendering.block_name_202	1004	100413			0#0#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_202	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-21.3#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
98	zhaobiao_203	g2052.gui.tendering.block_name_203	1004	100414			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_203	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#8#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
99	zhaobiao_204	g2052.gui.tendering.block_name_204	1004	100415			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_204	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#37.4#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
100	zhaobiao_205	g2052.gui.tendering.block_name_205	1004	100416			0#0#0	0#0#0	-0.3#3.5#22.3	0#180#0	30	0#3#21	0#0#0			11016	g2052.gui.tendering.block_title_205	38ffa4	-22#0#0	0#90#0	30	0#48#-25#0#55	set:g2052_tender.json image:zhaobiao3_bg	map001#17.8#32#-208#180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
101	zhaobiao_206	g2052.gui.tendering.block_name_206	1004	100417			0#-2#0	0#0#0	-0.3#3.5#22.3	0#180#0	30	0#3#21	0#0#0			11016	g2052.gui.tendering.block_title_206	38ffa4	-22#0#0	0#90#0	30	0#46#-23#0#55	set:g2052_tender.json image:zhaobiao4_bg	map001#-40.7#32#-208#180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
102	zhaobiao_201	g2052.gui.tendering.block_name_201	8002	800212			0#0#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_201	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-50#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
103	zhaobiao_202	g2052.gui.tendering.block_name_202	8002	800213			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_202	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-21.3#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
104	zhaobiao_203	g2052.gui.tendering.block_name_203	8002	800214			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_203	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#8#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
105	zhaobiao_204	g2052.gui.tendering.block_name_204	8002	800215			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_204	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#37.4#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
106	zhaobiao_205	g2052.gui.tendering.block_name_205	8002	800216			0#0#0	0#0#0	-0.3#3.5#22.3	0#180#0	30	0#3#21	0#0#0			11016	g2052.gui.tendering.block_title_205	38ffa4	-22#0#0	0#90#0	30	0#48#-25#0#55	set:g2052_tender.json image:zhaobiao3_bg	map001#17.8#32#-208#180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
107	zhaobiao_206	g2052.gui.tendering.block_name_206	8002	800217			0#-2#0	0#0#0	-0.3#3.5#22.3	0#180#0	30	0#3#21	0#0#0			11016	g2052.gui.tendering.block_title_206	38ffa4	-22#0#0	0#90#0	30	0#46#-23#0#55	set:g2052_tender.json image:zhaobiao4_bg	map001#-40.7#32#-208#180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
108	zhaobiao_201	g2052.gui.tendering.block_name_201	8005	800512			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_201	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-50#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
109	zhaobiao_202	g2052.gui.tendering.block_name_202	8005	800513			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_202	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-21.3#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
110	zhaobiao_203	g2052.gui.tendering.block_name_203	8005	800514			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_203	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#8#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
111	zhaobiao_204	g2052.gui.tendering.block_name_204	8005	800515			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_204	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#37.4#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
112	zhaobiao_205	g2052.gui.tendering.block_name_205	8005	800516			0#-2#0	0#0#0	-0.3#3.5#22.3	0#180#0	30	0#3#21	0#0#0			11016	g2052.gui.tendering.block_title_205	38ffa4	-22#0#0	0#90#0	30	0#48#-25#0#55	set:g2052_tender.json image:zhaobiao3_bg	map001#17.8#32#-208#180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
113	zhaobiao_206	g2052.gui.tendering.block_name_206	8005	800517			0#-2#0	0#0#0	-0.3#3.5#22.3	0#180#0	30	0#3#21	0#0#0			11016	g2052.gui.tendering.block_title_206	38ffa4	-22#0#0	0#90#0	30	0#46#-23#0#55	set:g2052_tender.json image:zhaobiao4_bg	map001#-40.7#32#-208#180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming#set:g2052_suit_icon.json image:g2052_clothing_suits_14			
114	zhaobiao_201	g2052.gui.tendering.block_name_201	8009	800512			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_201	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-50#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
115	zhaobiao_202	g2052.gui.tendering.block_name_202	8009	800513			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_202	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao1_bg	map001#-21.3#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
116	zhaobiao_203	g2052.gui.tendering.block_name_203	8009	800514			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_203	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#8#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
117	zhaobiao_204	g2052.gui.tendering.block_name_204	8009	800515			0#-2#0	0#0#0	-0.3#3.5#13.8	0#180#0	30	0#3#12.5	0#0#0				g2052.gui.tendering.block_title_204	38ffa4	-22#0#0	0#90#0	30	0#40#-16#0#40	set:g2052_tender.json image:zhaobiao2_bg	map001#37.4#32#-174#-180	set:g2052_tender.json image:g2052_icon_prop_chenhao#set:g2052_tender.json image:g2052_icon_prop_shuming			
