n_id	unname1	n_isNew	n_type	n_order	n_unlock_type	n_can_give	s_icon	s_skin	s_action_map1	s_action_map2	s_action_map3	s_sound	s_skill	n_isThrowObj	n_throwTrigger	n_throwActionIndex	n_rideOnPlayerIndex	s_throwPos	s_throwCfgName	n_throwMaxNum	s_dynamic_part	s_buff_params	s_prop_params	s_buff_params 字段说明
1631	管钳		3	322	3	1	set:g2052_props_icon.json image:g2052_icon_prop_banqian	gun:g2052_prop_guanqian	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_skill_guanqian														
1632	消防斧头		3	319	1		set:g2052_props_icon.json image:g2052_icon_prop_xiaofangfu	gun:g2052_prop_xiaofangfu	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_boy_hide			myplugin/skill_attack#myplugin/skill_attack											
1633	撬棍		3	320	1		set:g2052_props_icon.json image:g2052_icon_prop_qiaogun	gun:g2052_prop_qiaogun	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_boy_hide			myplugin/skill_attack#myplugin/skill_attack											
1634	锤子		3	321	1	1	set:g2052_props_icon.json image:g2052_icon_prop_chuizi	gun:g2052_prop_chuizi	idle:g2052_rp_chuizi#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_rp_chuizi1														
1635	路障		3	324	1	1	set:g2052_props_icon.json image:g2052_icon_prop_xuegaotong	gun:g2052_prop_luzhang	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint				myplugin/place_click	7	3				myplugin/part/luzhang	5				
1651	温度计		3	205	1	1	set:g2052_props_icon.json image:g2052_icon_prop_wenduji	gun:g2052_prop_wenduji	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_skill_wenduji#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint														
1652	X光照片		3	206	1	1	set:g2052_props_icon.json image:g2052_icon_prop_xguang	gun:g2052_prop_xpian	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint															
1653	针管		3	204	1	1	set:g2052_props_icon.json image:g2052_icon_prop_zhentong	gun:g2052_prop_zhenguan	idle:g2052_hand#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_rp_dazhen														
1654	笔录		3	208	1	1	set:g2052_props_icon.json image:g2052_icon_prop_bilu	gun:g2052_prop_bilu	idle:idle	idle:g2052_skill_record		none$boy_record												
1655	急救推车		1	203	1		set:g2052_props_icon.json image:g2052_prop_jijiutuiche	gun:g2052_prop_none						1	1		6	0#0#0#0	myplugin/entity/jijiutuiche_01			"1#""rideOnNull"": ""myplugin/jijiutuiche_01"""		
1656	急救箱		3	202	1	1	set:g2052_props_icon.json image:g2052_prop_jijiuxiang	gun:g2052_prop_jijiuxiang$gun:g2052_prop_none	idle:idle	idle:g2052_rp_jijiu														
1661	麦克风		2	511	1	1	set:g2052_props_icon.json image:g2052_prop_huatong	gun:g2052_prop_huatong	idle:g2052_rp_huatong	idle:g2052_give														
1662	录像机		2	512	1	1	set:g2052_props_icon.json image:g2052_prop_shexiangji	gun:g2052_prop_luxiangji$gun:g2052_prop_luxiangji1	idle:g2052_rp_luxiangji	idle:g2052_carry_idle#run:g2052_carry_run#walk:g2052_carry_walk#sprint:g2052_carry_sprint														
2001	银行id卡		10	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_menjinka	gun:g2052_prop_idcard_1	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint															
2002	许愿币		10	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_jinbi	gun:g2052_prop_jinbi	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint					5	2				myplugin/part/gold_coin	1				
2003	警局钥匙		10	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_yaoshi	gun:g2052_prop_jjyaoshi	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint															
2011	照片1		10	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_zhaopian01	gun:g2052_prop_zhaopian01	idle:g2052_skill_phone3															
2012	照片2		10	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_zhaopian02	gun:g2052_prop_zhaopian02	idle:g2052_skill_phone3															
2013	照片3		10	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_zhaopian03	gun:g2052_prop_zhaopian03	idle:g2052_skill_phone3															
2014	照片4		10	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_zhaopian04	gun:g2052_prop_zhaopian04	idle:g2052_skill_phone3															
2021	VR眼镜		10	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_vr	gun:g2052_prop_vr	idle:idle													1#”loseControlGlassesUI”:1		
2022	项链		10	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_zhubao02	gun:g2052_prop_zhubao1	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_give	idle:g2052_boy_hide		myplugin/place_click#nil	7	3				myplugin/part/bank_baoshi	1				
2023	宝石		10	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_zhubao01	gun:g2052_prop_zhubao2	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_give	idle:g2052_boy_hide		myplugin/place_click#nil	7	3				myplugin/part/bank_xianglian	1				
2024	档案袋		10	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_archives	gun:g2052_prop_dangandai	idle:g2052_hold#run:g2052_hold_run#walk:g2052_hold_walk#sprint:g2052_hold_sprint	idle:g2052_give	idle:g2052_boy_hide			7	3				myplugin/part/archives	1				
2025	玩具-粉色水枪		2	502	1	1	set:g2052_props_icon.json image:g2052_icon_toy_shuiqiang	gun:g2052_prop_toygun01	idle:g2052_skill_gun1	idle:g2052_skill_gun2	idle:g2052_skill_gun3		myplugin/skill_shuiqiang											
2026	玩具-鱼雷枪		2	502	1	1	set:g2052_props_icon.json image:g2052_icon_toy_gun	gun:g2052_prop_toygun02	idle:g2052_skill_gun1	idle:g2052_skill_gun2	idle:g2052_skill_gun3		myplugin/skill_wanjuqiang#myplugin/skill_wanjuqiang2#myplugin/skill_wanjuqiang3											
2027	玩具-红色轿车		2	503	1	1	set:g2052_props_icon.json image:g2052_icon_toy_saiche	gun:g2052_prop_toycar01	idle:g2052_rp_wanjuche	idle:g2052_hold	idle:g2052_boy_hide													
2028	玩具-推土机		2	503	1	1	set:g2052_props_icon.json image:g2052_icon_toy_chanche	gun:g2052_prop_toycar03	idle:g2052_rp_wanjuche	idle:g2052_hold	idle:g2052_boy_hide													
2029	玩具-消防车		2	503	1	1	set:g2052_props_icon.json image:g2052_icon_toy_xiaofangche	gun:g2052_prop_toycar02	idle:g2052_rp_wanjuche	idle:g2052_hold	idle:g2052_boy_hide													
2030	玩具-粉色娃娃		1	102	1	1	set:g2052_props_icon.json image:g2052_icon_toy_girl	gun:g2052_prop_toybaby01	idle:g2052_boy_carry2	idle:g2052_boy_jugaogao	idle:g2052_skill_game													
2031	玩具-紫色娃娃		1	103	1	1	set:g2052_props_icon.json image:g2052_icon_toy_boy	gun:g2052_prop_toybaby02	idle:g2052_boy_carry2	idle:g2052_boy_jugaogao	idle:g2052_skill_game													
2032	玩具-火枪		2	501	1	1	set:g2052_props_icon.json image:g2052_prop_toygun3	gun:g2052_prop_toygun03	idle:g2052_skill_gun1	idle:g2052_skill_gun2	idle:g2052_skill_gun3		myplugin/skill_wanjuqiang#myplugin/skill_wanjuqiang2#myplugin/skill_wanjuqiang3											
2033	投票		10	999	3	1	set:g2052_props_icon.json image:g2052_icon_prop_ticket	gun:g2052_prop_ticket	idle:idle	idle:g2052_skill_record		none$boy_record												
2034	牙刷		1	413	1		set:g2052_props_icon.json image:g2052_icon_prop_yashua	gun:g2052_prop_yashua	idle:g2052_rp_shuaya1	idle:g2052_rp_shuaya2														
2035	购物袋		10	406	3	1	set:g2052_props_icon.json image:g2052_prop_bag	gun:g2052_prop_gouwudai	idle:idle	idle:g2052_boy_hide														
2036	病历单		3	207	1	1	set:g2052_props_icon.json image:g2052_icon_prop_bingli	gun:g2052_prop_bingli	idle:g2052_hold	idle:g2052_boy_hide														
2037	魔法棒		2	105	1	1	set:g2052_props_icon.json image:g2052_icon_prop_mofabang	gun:g2052_prop_mofabang	idle:g2052_hold	idle:g2052_boy_hide			myplugin/skill_mofabang											
