	n_id	n_target	n_race	n_isLongRoundEffect	n_round	n_abnormal_type	n_isVulnerability	s_immune	n_effectSkillType	n_effectSkill	n_timing	n_timingDelay	n_trigger	n_pr	n_dcm	n_intger	s_effect_desc	s_effect_trigger_desc	s_effect_tip_dec	s_icon	s_effect_fullname	s_add_effect	s_add_sound	s_trigger_effect	s_trigger_sound	iconEffectName	n_effect_type
20%概率免疫潮湿	12010091	1	1	0	99#99	0	0	11020031,11020041,12030181	0		2		1	1	0.2			s_effect_trigger_desc_12010091			myplugin/immune_skill_effect_damp_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
20%概率免疫灼烧	12010101	1	1	0	99#99	0	0	11030031,11030041,12020241,12030251	0		2		1	1	0.2			s_effect_trigger_desc_12010101			myplugin/immune_skill_effect_burn_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
20%概率免疫中毒	12010111	1	1	0	99#99	0	0	11040031,11040041	0		2		1	1	0.2			s_effect_trigger_desc_12010111			myplugin/immune_skill_effect_dka_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
20%概率免疫睡眠	12010121	1	1	0	99#99	0	0	11040091,11040101,11040111,12030311	0		2		1	1	0.2			s_effect_trigger_desc_12010121			myplugin/immune_skill_effect_sleep_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
20%概率免疫混乱	12010131	1	1	0	99#99	0	0	11010031,11010041,12020151,12030351	0		2		1	1	0.2			s_effect_trigger_desc_12010131			myplugin/immune_skill_effect_chaos_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
20%概率免疫麻痹	12010141	1	1	0	99#99	0	0	11010051,11010061,12020161,12030341	0		2		1	1	0.2			s_effect_trigger_desc_12010141			myplugin/immune_skill_effect_palsy_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
生命+15%	12020011	1	1	0	99#99	0	0		0		2		1	1	0.15						myplugin/skill_life_bonus_buff						
速度+15%	12020021	1	1	0	99#99	0	0		0		2		1	1	0.15						myplugin/skill_speed_buff						
物攻+15%	12020031	1	1	0	99#99	0	0		0		2		1	1	0.15						myplugin/skill_physical_attack_buff						
物防+15%	12020041	1	1	0	99#99	0	0		0		2		1	1	0.15						myplugin/skill_physical_def_buff						
法攻+15%	12020051	1	1	0	99#99	0	0		0		2		1	1	0.15						myplugin/skill_spell_attack_buff						
法防+15%	12020061	1	1	0	99#99	0	0		0		2		1	1	0.15						myplugin/skill_spell_def_buff						
命中+15%	12020071	1	1	0	99#99	0	0		0		2		1	1	0.15						myplugin/skill_accuracy_bonus_buff						
技能威力+15%	12020081	1	1	0	99#99	0	0		0		2		1	1	0.15						myplugin/skill_power_bonus_buff						
40%概率免疫潮湿	12020091	1	1	0	99#99	0	0	11020031,11020041,12030181	0		2		1	1	0.4			s_effect_trigger_desc_12020091			myplugin/immune_skill_effect_damp_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
40%概率免疫灼烧	12020101	1	1	0	99#99	0	0	11030031,11030041,12020241,12030251	0		2		1	1	0.4			s_effect_trigger_desc_12020101			myplugin/immune_skill_effect_burn_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
40%概率免疫中毒	12020111	1	1	0	99#99	0	0	11040031,11040041	0		2		1	1	0.4			s_effect_trigger_desc_12020111			myplugin/immune_skill_effect_dka_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
40%概率免疫睡眠	12020121	1	1	0	99#99	0	0	11040091,11040101,11040111,12030311	0		2		1	1	0.4			s_effect_trigger_desc_12020121			myplugin/immune_skill_effect_sleep_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
40%概率免疫混乱	12020131	1	1	0	99#99	0	0	11010031,11010041,12020151,12030351	0		2		1	1	0.4			s_effect_trigger_desc_12020131			myplugin/immune_skill_effect_chaos_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
40%概率免疫麻痹	12020141	1	1	0	99#99	0	0	11010051,11010061,12020161,12030341	0		2		1	1	0.4			s_effect_trigger_desc_12020141			myplugin/immune_skill_effect_palsy_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
受到技能伤害时，有15%的概率对目标造成混乱，持续1-3回合	12020151	2	1	1	1#3	6	0		1	9101002	3	17	2	0.15	0.5		s_effect_desc_12020151	s_effect_trigger_desc_12020151	s_effect_tip_dec_chaos	set:skillbuff.json image:icon_debuff_chaos	myplugin/skill_effect_chaos_buff	g2038_status_chaos.effect	/sound/g2038_status_chaos.mp3	g2038_status_chaos.effect	/sound/g2038_status_chaos.mp3		
受到技能伤害时，有15%的概率对目标造成麻痹，持续1-3回合	12020161	2	1	1	1#3	4	0		0		3	17	2	0.2	1		s_effect_desc_12020161	s_effect_trigger_desc_12020161	s_effect_tip_dec_palsy	set:skillbuff.json image:icon_debuff_palsy	myplugin/skill_effect_palsy_buff	g2038_status_paralysis.effect	/sound/g2038_status_paralysis.mp3	g2038_status_paralysis.effect	/sound/g2038_status_paralysis.mp3		
每次释放技能，提高10%的法攻，当回合生效	12020171	1	1	0	1#1	0	0		0		4		1	1	0.1		s_effect_desc_12020171		s_effect_tip_dec_sAtkUp	set:skillbuff.json image:icon_buff_spell_atk	myplugin/skill_spell_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
释放技能时，恢复造成伤害*20%的生命值	12020181	1	1	0	99#99	0	0		0		2		5	1	1	20		s_effect_trigger_desc_12020181	s_effect_tip_dec_suck	set:skillbuff.json image:icon_buff_suck	myplugin/skill_effect_suck_blood_buff			g2038_status_hp.effect	/sound/g2038_status_hp.mp3		
死亡时有20%的概率复活，恢复30%的最大生命值，可无限复活	12020191	1	1	0	99#99	0	0		0		2		6	1	0.2	30		s_effect_trigger_desc_12020191			myplugin/skill_effect_revived_buff			g2038_status_life.effect	/sound/g2038_status_life.mp3		
死亡复活时，物攻+10%，持续5回合，可无限叠加	12020201	1	1	0	5#5	0	0		0		6		1	1	0.1		s_effect_desc_12020201		s_effect_tip_dec_pAtkUp	set:skillbuff.json image:icon_buff_physical_atk	myplugin/skill_physical_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
死亡时复活概率增加10%	12020211	1	1	0	99#99	0	0		0		2		6	1	0.1	10		s_effect_trigger_desc_12020211			myplugin/skill_effect_revived_buff			g2038_status_life.effect	/sound/g2038_status_life.mp3		
受到伤害时，反弹20%的伤害给对方	12020221	2	1	0	1#1	0	0		3		3	4	5	1	1	20		s_effect_trigger_desc_12020221			myplugin/skill_effect_fantan_buff						
受到伤害时，反弹伤害增加20%	12020231	2	1	0	1#1	0	0		3		3	4	5	1	1	20		s_effect_trigger_desc_12020231			myplugin/skill_effect_fantan_buff						
受到技能伤害时，有50%的概率给对方施加灼烧，持续3回合	12020241	2	1	1	3#3	2	0		0		3	17	3	0.5	-0.08	-20	s_effect_desc_12020241	s_effect_trigger_desc_12020241	s_effect_tip_dec_burn	set:skillbuff.json image:icon_debuff_burn	myplugin/skill_effect_burn_buff	g2038_status_fire.effect	/sound/g2038_status_fire.mp3	g2038_status_fire.effect	/sound/g2038_status_fire.mp3		
每回合回复5%最大生命值的生命	12020251	1	1	0	99#99	0	0		0		2		3	1	1	5		s_effect_trigger_desc_12020251	s_effect_tip_dec_recover2	set:skillbuff.json image:icon_buff_recover	myplugin/skill_effect_recover_buff			g2038_status_hp.effect	/sound/g2038_status_hp.mp3		
每次对目标造成伤害时，回复造成伤害的20%的生命值	12020261	1	1	0	99#99	0	0		0		2		5	1	1	20		s_effect_trigger_desc_12020261	s_effect_tip_dec_suck	set:skillbuff.json image:icon_buff_suck	myplugin/skill_effect_suck_blood_buff			g2038_status_hp.effect	/sound/g2038_status_hp.mp3		
生命+30%	12030011	1	1	0	99#99	0	0		0		2		1	1	0.3						myplugin/skill_life_bonus_buff						
速度+30%	12030021	1	1	0	99#99	0	0		0		2		1	1	0.3						myplugin/skill_speed_buff						
物攻+30%	12030031	1	1	0	99#99	0	0		0		2		1	1	0.3						myplugin/skill_physical_attack_buff						
物防+30%	12030041	1	1	0	99#99	0	0		0		2		1	1	0.3						myplugin/skill_physical_def_buff						
法攻+30%	12030051	1	1	0	99#99	0	0		0		2		1	1	0.3						myplugin/skill_spell_attack_buff						
法防+30%	12030061	1	1	0	99#99	0	0		0		2		1	1	0.3						myplugin/skill_spell_def_buff						
命中+30%	12030071	1	1	0	99#99	0	0		0		2		1	1	0.3						myplugin/skill_accuracy_bonus_buff						
技能威力+30%	12030081	1	1	0	99#99	0	0		0		2		1	1	0.3						myplugin/skill_power_bonus_buff						
60%概率免疫潮湿	12030091	1	1	0	99#99	0	0	11020031,11020041,12030181	0		2		1	1	0.6			s_effect_trigger_desc_12030091			myplugin/immune_skill_effect_damp_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
60%概率免疫灼烧	12030101	1	1	0	99#99	0	0	11030031,11030041,12020241,12030251	0		2		1	1	0.6			s_effect_trigger_desc_12030101			myplugin/immune_skill_effect_burn_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
60%概率免疫中毒	12030111	1	1	0	99#99	0	0	11040031,11040041	0		2		1	1	0.6			s_effect_trigger_desc_12030111			myplugin/immune_skill_effect_dka_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
60%概率免疫睡眠	12030121	1	1	0	99#99	0	0	11040091,11040101,11040111,12030311	0		2		1	1	0.6			s_effect_trigger_desc_12030121			myplugin/immune_skill_effect_sleep_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
60%概率免疫混乱	12030131	1	1	0	99#99	0	0	11010031,11010041,12020151,12030351	0		2		1	1	0.6			s_effect_trigger_desc_12030131			myplugin/immune_skill_effect_chaos_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
60%概率免疫麻痹	12030141	1	1	0	99#99	0	0	11010051,11010061,12020161,12030341	0		2		1	1	0.6			s_effect_trigger_desc_12030141			myplugin/immune_skill_effect_palsy_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
每次释放技能，提高15%的法攻，当回合生效	12030151	1	1	0	1#1	0	0		0		4		1	1	0.15		s_effect_desc_12030151		s_effect_tip_dec_sAtkUp	set:skillbuff.json image:icon_buff_spell_atk	myplugin/skill_spell_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
释放技能时，连击几率提高10%	12030161	1	1	0	1#1	0	0		4		1		5	1	0.1			s_effect_trigger_desc_12030161			myplugin/skill_effect_lianji_buff						
每次释放技能，降低对方15%的法防，当回合生效	12030171	2	1	0	1#1	0	0		0		3		1	1	0.15		s_effect_desc_12030171		s_effect_tip_dec_sDefUp	set:skillbuff.json image:icon_buff_spell_def	myplugin/skill_spell_def_buff	g2038_status_debuff.effect	/sound/g2038_status_debuff.mp3				
受到技能伤害时，有50%的概率给对方施加潮湿，持续3回合	12030181	2	1	1	3#3	3	0		0		3	17	3	0.5	-0.08	-20	s_effect_desc_12030181	s_effect_trigger_desc_12030181	s_effect_tip_dec_damp	set:skillbuff.json image:icon_debuff_damp	myplugin/skill_effect_damp_buff	g2038_status_wet.effect	/sound/g2038_status_wet.mp3	g2038_status_wet.effect	/sound/g2038_status_wet.mp3		
对潮湿状态的目标，造成2倍伤害	12030191	2	1	0	1#1	0	1		0		3		1	1	2	3					myplugin/skill_fragile_bonus_buff						
释放技能时，恢复造成伤害*40%的生命值	12030201	1	1	0	99#99	0	0		0		2		5	1	1	40		s_effect_trigger_desc_12030201	s_effect_tip_dec_suck	set:skillbuff.json image:icon_buff_suck	myplugin/skill_effect_suck_blood_buff			g2038_status_hp.effect	/sound/g2038_status_hp.mp3		
释放技能时，连击几率提高20%	12030211	1	1	0	1#1	0	0		4		1		5	1	0.2			s_effect_trigger_desc_12030211			myplugin/skill_effect_lianji_buff						
受到伤害时，反弹30%的伤害给对方	12030221	2	1	0	1#1	0	0		3		3	4	5	1	1	30		s_effect_trigger_desc_12030221			myplugin/skill_effect_fantan_buff						
每次对目标造成伤害时，回复15%的最大生命值	12030231	1	1	0	99#99	0	0		0		2		5	1	1	15		s_effect_trigger_desc_12030231	s_effect_tip_dec_recover1	set:skillbuff.json image:icon_buff_recover	myplugin/skill_effect_recover_buff			g2038_status_hp.effect	/sound/g2038_status_hp.mp3		
受到伤害时，反弹伤害增加30%	12030241	2	1	0	1#1	0	0		3		3	4	5	1	1	30		s_effect_trigger_desc_12030241			myplugin/skill_effect_fantan_buff						
受到技能伤害时，有75%的概率给对方施加灼烧，持续3回合	12030251	2	1	1	3#3	2	0		0		3	17	3	0.75	-0.08	-20	s_effect_desc_12030251	s_effect_trigger_desc_12030251	s_effect_tip_dec_burn	set:skillbuff.json image:icon_debuff_burn	myplugin/skill_effect_burn_buff	g2038_status_fire.effect	/sound/g2038_status_fire.mp3	g2038_status_fire.effect	/sound/g2038_status_fire.mp3		
死亡时有30%的概率复活，恢复30%的最大生命值，可无限复活	12030261	1	1	0	99#99	0	0		0		2		6	1	0.3	30		s_effect_trigger_desc_12030261			myplugin/skill_effect_revived_buff			g2038_status_life.effect	/sound/g2038_status_life.mp3		
死亡复活时，物攻+15%，持续5回合，可无限叠加	12030271	1	1	0	5#5	0	0		0		6		1	1	0.15		s_effect_desc_12030271		s_effect_tip_dec_pAtkUp	set:skillbuff.json image:icon_buff_physical_atk	myplugin/skill_physical_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
死亡复活时，物防和法防+15%，持续5回合，可无限叠加	12030281	1	1	0	5#5	0	0		0		6		1	1	0.15		s_effect_desc_12030281		s_effect_tip_dec_pDefUp	set:skillbuff.json image:icon_buff_physical_def	myplugin/skill_physical_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	12030282	1	1	0	5#5	0	0		0		6		1	1	0.15				s_effect_tip_dec_sDefUp	set:skillbuff.json image:icon_buff_spell_def	myplugin/skill_effect_chaos_buff						
死亡复活时，速度+15%，持续5回合，可无限叠加	12030291	1	1	0	5#5	0	0		0		6		1	1	0.15		s_effect_desc_12030291		s_effect_tip_dec_speedUp	set:skillbuff.json image:icon_buff_speed	myplugin/skill_speed_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
死亡时复活概率增加15%	12030301	1	1	0	99#99	0	0		0		2		6	1	0.15	15		s_effect_trigger_desc_12030301			myplugin/skill_effect_revived_buff			g2038_status_life.effect	/sound/g2038_status_life.mp3		
受到技能伤害时，有20%的概率对目标造成睡眠效果，持续1-3回合	12030311	2	1	1	1#3	5	0		0		3	17	2	0.3	1		s_effect_desc_12030311	s_effect_trigger_desc_12030311	s_effect_tip_dec_sleep	set:skillbuff.json image:icon_debuff_sleep	myplugin/skill_effect_sleep_buff	g2038_status_sleep.effect	/sound/g2038_status_sleep.mp3	g2038_status_sleep.effect	/sound/g2038_status_sleep.mp3		
每回合回复10%最大生命值的生命	12030321	1	1	0	99#99	0	0		0		2		3	1	1	10		s_effect_trigger_desc_12030321	s_effect_tip_dec_recover2	set:skillbuff.json image:icon_buff_recover	myplugin/skill_effect_recover_buff			g2038_status_hp.effect	/sound/g2038_status_hp.mp3		
每次对目标造成伤害时，回复造成伤害的30%的生命值	12030331	1	1	0	99#99	0	0		0		2		5	1	1	30		s_effect_trigger_desc_12030331	s_effect_tip_dec_suck	set:skillbuff.json image:icon_buff_suck	myplugin/skill_effect_suck_blood_buff			g2038_status_hp.effect	/sound/g2038_status_hp.mp3		
受到技能伤害时，有30%的概率给对方施加麻痹，持续2-5回合	12030341	2	1	1	2#5	4	0		0		3	17	2	0.3	0.5	-20	s_effect_desc_12030341	s_effect_trigger_desc_12030341	s_effect_tip_dec_palsy	set:skillbuff.json image:icon_debuff_palsy	myplugin/skill_effect_palsy_buff	g2038_status_paralysis.effect	/sound/g2038_status_paralysis.mp3	g2038_status_paralysis.effect	/sound/g2038_status_paralysis.mp3		
受到技能伤害时，有30%的概率给对方施加混乱，持续2-5回合	12030351	2	1	1	2#5	6	0		1	9101002	3	17	2	0.3	0.5		s_effect_desc_12030351	s_effect_trigger_desc_12030351	s_effect_tip_dec_chaos	set:skillbuff.json image:icon_debuff_chaos	myplugin/skill_effect_chaos_buff	g2038_status_chaos.effect	/sound/g2038_status_chaos.mp3	g2038_status_chaos.effect	/sound/g2038_status_chaos.mp3		
死亡时有30%的概率复活，提高15%的技能威力，持续5回合，可无限复活	12030361	1	1	0	99#99	0	0		0		2		6	1	0.3	15		s_effect_trigger_desc_12030361			myplugin/skill_effect_revived_buff			g2038_status_life.effect	/sound/g2038_status_life.mp3		
	12030362	1	1	0	5#5	0	0		0		6		1	1	0.15				s_effect_tip_dec_damageUp	set:skillbuff.json image:icon_buff_damage	myplugin/skill_power_bonus_buff						
受到技能伤害时，有30%的概率进行反击	12030371	1	1	0	1#1	0	0		2	9101001	3	4	5	1	0.3			s_effect_trigger_desc_12030371			myplugin/skill_effect_fanji_buff						
反击的概率增加30%	12030381	1	1	0	1#1	0	0		2	9101001	3	4	5	1	0.3			s_effect_trigger_desc_12030381			myplugin/skill_effect_fanji_buff						
【法攻】+20%，【速度】+20%，【免疫潮湿】	13010011	1	1	0	99#99	0	0		0		2		1	1	0.2		s_effect_desc_13010011				myplugin/skill_spell_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010012	1	1	0	99#99	0	0		0		2		1	1	0.2						myplugin/skill_speed_buff						
	13010013	1	1	0	99#99	0	0	11020031,11020041,12030181	0		2		1	1	0.5			s_effect_trigger_desc_13010013			myplugin/immune_skill_effect_damp_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【生命】+20%，【威力】+20%，【免疫潮湿】	13010021	1	1	0	99#99	0	0		0		2		1	1	0.2		s_effect_desc_13010021				myplugin/skill_life_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010022	1	1	0	99#99	0	0		0		2		1	1	0.2						myplugin/skill_power_bonus_buff						
	13010023	1	1	0	99#99	0	0	11020031,11020041,12030181	0		2		1	1	0.5			s_effect_trigger_desc_13010023			myplugin/immune_skill_effect_damp_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【物防】+20%，【法防】+20%，【免疫潮湿】	13010031	1	1	0	99#99	0	0		0		2		1	1	0.2		s_effect_desc_13010031				myplugin/skill_physical_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010032	1	1	0	99#99	0	0		0		2		1	1	0.2						myplugin/skill_spell_def_buff						
	13010033	1	1	0	99#99	0	0	11020031,11020041,12030181	0		2		1	1	0.5			s_effect_trigger_desc_13010033			myplugin/immune_skill_effect_damp_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【生命】+20%，【法防】+20%，【免疫灼烧】	13010041	1	1	0	99#99	0	0		0		2		1	1	0.2		s_effect_desc_13010041				myplugin/skill_life_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010042	1	1	0	99#99	0	0		0		2		1	1	0.2						myplugin/skill_spell_def_buff						
	13010043	1	1	0	99#99	0	0	11030031,11030041,12020241,12030251	0		2		1	1	0.5			s_effect_trigger_desc_13010043			myplugin/immune_skill_effect_burn_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【物攻】+20%，【速度】+20%，【免疫灼烧】	13010051	1	1	0	99#99	0	0		0		2		1	1	0.2		s_effect_desc_13010051				myplugin/skill_physical_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010052	1	1	0	99#99	0	0		0		2		1	1	0.2						myplugin/skill_speed_buff						
	13010053	1	1	0	99#99	0	0	11030031,11030041,12020241,12030251	0		2		1	1	0.5			s_effect_trigger_desc_13010053			myplugin/immune_skill_effect_burn_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【物防】+20%，【法防】+20%，【免疫灼烧】	13010061	1	1	0	99#99	0	0		0		2		1	1	0.2		s_effect_desc_13010061				myplugin/skill_physical_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010062	1	1	0	99#99	0	0		0		2		1	1	0.2						myplugin/skill_spell_def_buff						
	13010063	1	1	0	99#99	0	0	11030031,11030041,12020241,12030251	0		2		1	1	0.5			s_effect_trigger_desc_13010063			myplugin/immune_skill_effect_burn_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【速度】+20%，【生命】+20%，【免疫中毒】	13010071	1	1	0	99#99	0	0		0		2		1	1	0.2		s_effect_desc_13010071				myplugin/skill_speed_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010072	1	1	0	99#99	0	0		0		2		1	1	0.2						myplugin/skill_life_bonus_buff						
	13010073	1	1	0	99#99	0	0	11040031,11040041	0		2		1	1	0.5			s_effect_trigger_desc_13010073			myplugin/immune_skill_effect_dka_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【物防】+20%，【法防】+20%，【免疫中毒】	13010081	1	1	0	99#99	0	0		0		2		1	1	0.2		s_effect_desc_13010081				myplugin/skill_physical_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010082	1	1	0	99#99	0	0		0		2		1	1	0.2						myplugin/skill_spell_def_buff						
	13010083	1	1	0	99#99	0	0	11040031,11040041	0		2		1	1	0.5			s_effect_trigger_desc_13010083			myplugin/immune_skill_effect_dka_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【速度】+20%，【命中】+20%，【免疫中毒】	13010091	1	1	0	99#99	0	0		0		2		1	1	0.2		s_effect_desc_13010091				myplugin/skill_speed_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010092	1	1	0	99#99	0	0		0		2		1	1	0.2						myplugin/skill_accuracy_bonus_buff						
	13010093	1	1	0	99#99	0	0	11040031,11040041	0		2		1	1	0.5			s_effect_trigger_desc_13010093			myplugin/immune_skill_effect_dka_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【速度】+20%，【生命】+20%，【免疫麻痹】	13010101	1	1	0	99#99	0	0		0		2		1	1	0.2		s_effect_desc_13010101				myplugin/skill_speed_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010102	1	1	0	99#99	0	0		0		2		1	1	0.2						myplugin/skill_life_bonus_buff						
	13010103	1	1	0	99#99	0	0	11010051,11010061,12020161,12030341	0		2		1	1	0.5			s_effect_trigger_desc_13010103			myplugin/immune_skill_effect_palsy_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【物防】+20%，【法防】+20%，【免疫混乱】	13010111	1	1	0	99#99	0	0		0		2		1	1	0.2		s_effect_desc_13010111				myplugin/skill_physical_def_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010112	1	1	0	99#99	0	0		0		2		1	1	0.2						myplugin/skill_spell_def_buff						
	13010113	1	1	0	99#99	0	0	11010031,11010041,12020151,12030351	0		2		1	1	0.5			s_effect_trigger_desc_13010113			myplugin/immune_skill_effect_chaos_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【速度】+20%，【物攻】+20%，【免疫睡眠】	13010121	1	1	0	99#99	0	0		0		2		1	1	0.2		s_effect_desc_13010121				myplugin/skill_speed_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010122	1	1	0	99#99	0	0		0		2		1	1	0.2						myplugin/skill_physical_attack_buff						
	13010123	1	1	0	99#99	0	0	11040091,11040101,11040111,12030311	0		2		1	1	0.5			s_effect_trigger_desc_13010123			myplugin/immune_skill_effect_sleep_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【生命】+20%	13010131	1	1	0	99#99	0	0		0		2		1	1	0.15		s_effect_desc_13010131				myplugin/skill_life_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
【速度】+20%	13010141	1	1	0	99#99	0	0		0		2		1	1	0.15		s_effect_desc_13010141				myplugin/skill_speed_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
【法攻】+20%，【免疫潮湿】	13010151	1	1	0	99#99	0	0		0		2		1	1	0.15		s_effect_desc_13010151				myplugin/skill_spell_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010152	1	1	0	99#99	0	0	11020031,11020041,12030181	0		2		1	1	0.5			s_effect_trigger_desc_13010152			myplugin/immune_skill_effect_damp_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【生命】+20%，【免疫潮湿】	13010161	1	1	0	99#99	0	0		0		2		1	1	0.15		s_effect_desc_13010161				myplugin/skill_life_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010162	1	1	0	99#99	0	0	11020031,11020041,12030181	0		2		1	1	0.5			s_effect_trigger_desc_13010162			myplugin/immune_skill_effect_damp_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
技能【威力】+20%，【免疫潮湿】	13010171	1	1	0	99#99	0	0		0		2		1	1	0.15		s_effect_desc_13010171				myplugin/skill_power_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010172	1	1	0	99#99	0	0	11020031,11020041,12030181	0		2		1	1	0.5			s_effect_trigger_desc_13010172			myplugin/immune_skill_effect_damp_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【物攻】+20%，【免疫灼烧】	13010181	1	1	0	99#99	0	0		0		2		1	1	0.15		s_effect_desc_13010181				myplugin/skill_physical_attack_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010182	1	1	0	99#99	0	0	11030031,11030041,12020241,12030251	0		2		1	1	0.5			s_effect_trigger_desc_13010182			myplugin/immune_skill_effect_burn_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【生命】+20%，【免疫灼烧】	13010191	1	1	0	99#99	0	0		0		2		1	1	0.15		s_effect_desc_13010191				myplugin/skill_life_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010192	1	1	0	99#99	0	0	11030031,11030041,12020241,12030251	0		2		1	1	0.5			s_effect_trigger_desc_13010192			myplugin/immune_skill_effect_burn_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【生命】+20%，【免疫灼烧】	13010201	1	1	0	99#99	0	0		0		2		1	1	0.15		s_effect_desc_13010201				myplugin/skill_life_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010202	1	1	0	99#99	0	0	11030031,11030041,12020241,12030251	0		2		1	1	0.5			s_effect_trigger_desc_13010202			myplugin/immune_skill_effect_burn_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【生命】+20%，【免疫中毒】	13010211	1	1	0	99#99	0	0		0		2		1	1	0.15		s_effect_desc_13010211				myplugin/skill_life_bonus_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010212	1	1	0	99#99	0	0	11040031,11040041	0		2		1	1	0.5			s_effect_trigger_desc_13010212			myplugin/immune_skill_effect_dka_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【速度】+20%，【免疫中毒】	13010221	1	1	0	99#99	0	0		0		2		1	1	0.15		s_effect_desc_13010221				myplugin/skill_speed_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010222	1	1	0	99#99	0	0	11040031,11040041	0		2		1	1	0.5			s_effect_trigger_desc_13010222			myplugin/immune_skill_effect_dka_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
【速度】+20%，【免疫中毒】	13010231	1	1	0	99#99	0	0		0		2		1	1	0.15		s_effect_desc_13010231				myplugin/skill_speed_buff	g2038_status_buff.effect	/sound/g2038_status_buff.mp3				
	13010232	1	1	0	99#99	0	0	11040031,11040041	0		2		1	1	0.5			s_effect_trigger_desc_13010232			myplugin/immune_skill_effect_dka_buff			g2038_status_life.effect	/sound/g2038_status_immune.mp3		
