字段名称	id	hp_bless_count	speed_bless_count	pAtk_bless_count	pDef_bless_count	sAtk_bless_count	sDef_bless_count
瓦尔基里	10301301	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
阿波菲斯	10500501	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
卡纳尔	10301401	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
暗牙	10100801	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
黑爪	10100802	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小艾达丝	10501501	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
艾达丝	10501502	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
小阿狸	10100901	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
阿狸	10100902	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
库洛斯	10200901	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40	10,5#20,10#30,15#40,20#50,25#60,30#70,35#80,40
