n_id	n_type	s_title	n_quality	n_original	n_discount	s_items	s_itemsType	s_itemsCount	s_petStarLevel	s_highlight	n_duration	s_trigger	s_sameTypeGift	n_battleShow	s_sp_icon	n_auto_weight
58002	2	level_gift_pack_129	2	1500	0.2	212#3	3#2	10#30000		1	12	6#70106	58001			10
58003	2	level_gift_pack_130	3	3000	0.2	212#212#3	3#3#2	10#10#60000		1	12	6#70109	58001#58002			10
58004	2	level_gift_pack_131	3	5000	0.2	212#212#212#3	3#3#3#2	10#10#10#100000		1	12	6#70112	58001#58002#58003			10
58101	2	level_gift_pack_132	2	1500	0.2	212#3	3#2	10#30000		1	12	6#70203				10
58102	2	level_gift_pack_133	2	1500	0.2	212#3	3#2	10#30000		1	12	6#70206	58101			10
58103	2	level_gift_pack_134	3	3000	0.2	212#212#3	3#3#2	10#10#60000		1	12	6#70209	58101#58102			10
58104	2	level_gift_pack_135	3	5000	0.2	212#212#212#3	3#3#3#2	10#10#10#100000		1	12	6#70212	58101#58102#58103			10
58201	2	level_gift_pack_136	2	1500	0.2	212#3	3#2	10#30000		1	12	6#70303				10
58202	2	level_gift_pack_137	2	1500	0.2	212#3	3#2	10#30000		1	12	6#70306	58201			10
58203	2	level_gift_pack_138	3	3000	0.2	212#212#3	3#3#2	10#10#60000		1	12	6#70309	58201#58202			10
58204	2	level_gift_pack_139	3	5000	0.2	212#212#212#3	3#3#3#2	10#10#10#100000		1	12	6#70312	58201#58202#58203			10
58301	2	level_gift_pack_140	2	1500	0.2	212#3	3#2	10#30000		1	12	6#70403				10
58302	2	level_gift_pack_141	2	1500	0.2	212#3	3#2	10#30000		1	12	6#70406	58301			10
58303	2	level_gift_pack_142	3	3000	0.2	212#212#3	3#3#2	10#10#60000		1	12	6#70409	58301#58302			10
58304	2	level_gift_pack_143	3	5000	0.2	212#212#212#3	3#3#3#2	10#10#10#100000		1	12	6#70412	58301#58302#58303			10
